id,Accuracy,F1,Pos_Recall,Neg_Recall,Pos_Precision,Neg_Precision
Performance1,0.861111,0.871795,1.0,0.736842,0.772727,1.0
Performance2,0.916667,0.896552,1.0,0.869565,0.8125,1.0
Performance3,0.861111,0.888889,1.0,0.6875,0.8,1.0
Performance4,0.833333,0.875,1.0,0.6,0.777778,1.0
Performance5,0.888889,0.894737,1.0,0.789474,0.809524,1.0
Performance6,0.805556,0.844444,1.0,0.588235,0.730769,1.0
Performance7,0.75,0.780488,1.0,0.55,0.64,1.0
Performance8,0.888889,0.894737,1.0,0.789474,0.809524,1.0
Performance9,0.888889,0.894737,1.0,0.789474,0.809524,1.0
Performance10,0.833333,0.842105,1.0,0.7,0.727273,1.0
Performance11,0.861111,0.864865,1.0,0.75,0.761905,1.0
Performance12,0.805556,0.810811,1.0,0.666667,0.681818,1.0
Performance13,0.861111,0.893617,1.0,0.666667,0.807692,1.0
Performance14,0.805556,0.774194,1.0,0.708333,0.631579,1.0
Performance15,0.861111,0.883721,1.0,0.705882,0.791667,1.0
Performance16,0.777778,0.809524,1.0,0.578947,0.68,1.0
Performance17,0.888889,0.875,1.0,0.818182,0.777778,1.0
Performance18,0.861111,0.848485,1.0,0.772727,0.736842,1.0
Performance19,0.805556,0.837209,1.0,0.611111,0.72,1.0
Performance20,1.0,1.0,1.0,1.0,1.0,1.0
Performance21,0.916667,0.930233,1.0,0.8125,0.869565,1.0
Performance22,0.888889,0.888889,1.0,0.8,0.8,1.0
Performance23,0.916667,0.918919,1.0,0.842105,0.85,1.0
Performance24,0.861111,0.888889,1.0,0.6875,0.8,1.0
Performance25,0.861111,0.883721,1.0,0.705882,0.791667,1.0
Performance26,0.833333,0.875,1.0,0.6,0.777778,1.0
Performance27,0.861111,0.883721,1.0,0.705882,0.791667,1.0
Performance28,0.944444,0.941176,1.0,0.9,0.888889,1.0
Performance29,0.888889,0.904762,1.0,0.764706,0.826087,1.0
Performance30,0.861111,0.871795,1.0,0.736842,0.772727,1.0
Performance31,0.861111,0.871795,1.0,0.736842,0.772727,1.0
Performance32,0.888889,0.866667,1.0,0.826087,0.764706,1.0
Performance33,0.861111,0.888889,1.0,0.6875,0.8,1.0
Performance34,0.833333,0.875,1.0,0.6,0.777778,1.0
Performance35,0.888889,0.894737,1.0,0.789474,0.809524,1.0
Performance36,0.805556,0.844444,1.0,0.588235,0.730769,1.0
Performance37,0.75,0.780488,1.0,0.55,0.64,1.0
Performance38,0.888889,0.894737,1.0,0.789474,0.809524,1.0
Performance39,0.888889,0.894737,1.0,0.789474,0.809524,1.0
Performance40,0.833333,0.842105,1.0,0.7,0.727273,1.0
Performance41,0.861111,0.864865,1.0,0.75,0.761905,1.0
Performance42,0.805556,0.810811,1.0,0.666667,0.681818,1.0
Performance43,0.861111,0.893617,1.0,0.666667,0.807692,1.0
Performance44,0.805556,0.774194,1.0,0.708333,0.631579,1.0
Performance45,0.861111,0.883721,1.0,0.705882,0.791667,1.0
Performance46,0.777778,0.809524,1.0,0.578947,0.68,1.0
Performance47,0.861111,0.848485,1.0,0.772727,0.736842,1.0
Performance48,0.861111,0.848485,1.0,0.772727,0.736842,1.0
Performance49,0.805556,0.837209,1.0,0.611111,0.72,1.0
Performance50,1.0,1.0,1.0,1.0,1.0,1.0
Performance51,0.916667,0.930233,1.0,0.8125,0.869565,1.0
Performance52,0.861111,0.864865,1.0,0.75,0.761905,1.0
Performance53,0.916667,0.918919,1.0,0.842105,0.85,1.0
Performance54,0.861111,0.888889,1.0,0.6875,0.8,1.0
Performance55,0.861111,0.883721,1.0,0.705882,0.791667,1.0
Performance56,0.833333,0.875,1.0,0.6,0.777778,1.0
Performance57,0.861111,0.883721,1.0,0.705882,0.791667,1.0
Performance58,0.944444,0.941176,1.0,0.9,0.888889,1.0
Performance59,0.888889,0.904762,1.0,0.764706,0.826087,1.0
Performance60,0.861111,0.871795,1.0,0.736842,0.772727,1.0
Performance61,0.861111,0.871795,1.0,0.736842,0.772727,1.0
Performance62,0.888889,0.857143,0.923077,0.869565,0.8,0.952381
Performance63,0.833333,0.863636,0.95,0.6875,0.791667,0.916667
Performance64,0.777778,0.826087,0.904762,0.6,0.76,0.818182
Performance65,0.861111,0.864865,0.941176,0.789474,0.8,0.9375
Performance66,0.805556,0.844444,1.0,0.588235,0.730769,1.0
Performance67,0.75,0.769231,0.9375,0.6,0.652174,0.923077
Performance68,0.861111,0.857143,0.882353,0.842105,0.833333,0.888889
Performance69,0.861111,0.857143,0.882353,0.842105,0.833333,0.888889
Performance70,0.861111,0.864865,1.0,0.75,0.761905,1.0
Performance71,0.888889,0.888889,1.0,0.8,0.8,1.0
Performance72,0.833333,0.823529,0.933333,0.761905,0.736842,0.941176
Performance73,0.833333,0.869565,0.952381,0.666667,0.8,0.909091
Performance74,0.833333,0.8,1.0,0.75,0.666667,1.0
Performance75,0.805556,0.820513,0.842105,0.764706,0.8,0.8125
Performance76,0.75,0.780488,0.941176,0.578947,0.666667,0.916667
Performance77,0.888889,0.857143,0.857143,0.909091,0.857143,0.909091
Performance78,0.805556,0.758621,0.785714,0.818182,0.733333,0.857143
Performance79,0.805556,0.837209,1.0,0.611111,0.72,1.0
Performance80,0.944444,0.958333,0.92,1.0,1.0,0.846154
Performance81,0.888889,0.904762,0.95,0.8125,0.863636,0.928571
Performance82,0.888889,0.888889,1.0,0.8,0.8,1.0
Performance83,0.888889,0.888889,0.941176,0.842105,0.842105,0.941176
Performance84,0.694444,0.717949,0.7,0.6875,0.736842,0.647059
Performance85,0.861111,0.883721,1.0,0.705882,0.791667,1.0
Performance86,0.861111,0.888889,0.952381,0.733333,0.833333,0.916667
Performance87,0.861111,0.883721,1.0,0.705882,0.791667,1.0
Performance88,0.944444,0.941176,1.0,0.9,0.888889,1.0
Performance89,0.861111,0.878049,0.947368,0.764706,0.818182,0.928571
Performance90,0.777778,0.75,0.705882,0.842105,0.8,0.761905
